Country,Year,GFDD.AI.01,GFDD.AI.02,GFDD.AI.03,GFDD.AI.04,GFDD.AI.05,GFDD.AI.06,GFDD.AI.07,GFDD.AI.08,GFDD.AI.09,GFDD.AI.10,GFDD.AI.11,GFDD.AI.12,GFDD.AI.13,GFDD.AI.14,GFDD.AI.15,GFDD.AI.16,GFDD.AI.17,GFDD.AI.18,GFDD.AI.19,GFDD.AI.20,GFDD.AI.21,GFDD.AI.22,GFDD.AI.23,GFDD.AI.24,GFDD.AI.25,GFDD.AI.26,GFDD.AI.27,GFDD.AI.28,GFDD.AI.29,GFDD.AI.30,GFDD.AI.31,GFDD.AI.32,GFDD.AI.33,GFDD.AI.34,GFDD.AI.35,GFDD.AI.36,GFDD.AM.01,GFDD.AM.02,GFDD.AM.03,GFDD.AM.04,GFDD.DI.01,GFDD.DI.02,GFDD.DI.03,GFDD.DI.04,GFDD.DI.05,GFDD.DI.06,GFDD.DI.07,GFDD.DI.08,GFDD.DI.09,GFDD.DI.10,GFDD.DI.11,GFDD.DI.12,GFDD.DI.13,GFDD.DI.14,GFDD.DM.01,GFDD.DM.02,GFDD.DM.03,GFDD.DM.04,GFDD.DM.05,GFDD.DM.06,GFDD.DM.07,GFDD.DM.08,GFDD.DM.09,GFDD.DM.10,GFDD.DM.11,GFDD.DM.12,GFDD.DM.13,GFDD.DM.14,GFDD.DM.15,GFDD.EI.01,GFDD.EI.02,GFDD.EI.03,GFDD.EI.04,GFDD.EI.05,GFDD.EI.06,GFDD.EI.07,GFDD.EI.08,GFDD.EI.09,GFDD.EI.10,GFDD.EM.01,GFDD.OE.01,GFDD.OE.02,GFDD.OI.01,GFDD.OI.02,GFDD.OI.03,GFDD.OI.04,GFDD.OI.05,GFDD.OI.06,GFDD.OI.07,GFDD.OI.08,GFDD.OI.09,GFDD.OI.10,GFDD.OI.11,GFDD.OI.12,GFDD.OI.13,GFDD.OI.14,GFDD.OI.15,GFDD.OI.16,GFDD.OI.17,GFDD.OI.18,GFDD.OI.19,GFDD.OM.01,GFDD.OM.02,GFDD.SI.01,GFDD.SI.02,GFDD.SI.03,GFDD.SI.04,GFDD.SI.05,GFDD.SI.06,GFDD.SI.07,GFDD.SM.01,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD,NY.GDP.PCAP.CD,NY.GDP.PCAP.KD,NY.GNP.MKTP.CD,SP.POP.TOTL
USA,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1182,,42.3523,91.8626,60.2646,4.94277,,55.4992,,,,71.6888,,75.0801,,,,,,,,,,,,,,,,,,,,,,,,,,,13.758,13.7083,,55.4992,,,,,2600000,,,,,,,,,,,,0,,18.6671,,,,70.4843,,,,9.5022,5.6E+11,,,17142.2,5.7E+11,180000000
USA,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1875,,42.2041,92.0752,61.025,4.8991,,56.6207,,,,72.8271,,75.5509,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9414,13.8726,,56.6207,,,,,2800000,,,,,,,,,,,,0,,-5.95915,,,,70.9767,,,,11.7258,6.1E+11,,,17910.3,6.1E+11,190000000
USA,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.701,,42.5066,92.1821,62.9458,5.00992,,58.5164,,,,75.8487,,80.2944,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1707,14.0446,,58.5164,,,,,3000000,,,,,,,,,,,,0,,12.0969,,,,72.9727,,,,13.9664,6.4E+11,,,18431.2,6.4E+11,190000000
USA,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6474,,43.1071,92.1968,63.9779,5.10355,,59.365,,,,78.8523,,83.1427,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3083,14.2242,,59.365,,,,,3200000,,,,,,,,,,,,0,,16.4776,,,,75.2082,,,,8.07522,6.9E+11,,,19231.2,6.9E+11,190000000
USA,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2655,,43.4791,92.1921,64.2776,5.17504,,59.7865,,,,81.3872,,86.137,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5834,14.4497,,59.7865,,,,,3400000,,,,,,,,,,,,0,,8.33408,,,,77.3845,,,,6.56552,7.4E+11,,,20207.8,7.5E+11,190000000
USA,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.6381,,42.4924,92.0895,62.725,5.17699,,58.4347,,,,81.3068,,83.5062,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0879,14.8854,,58.4347,,,,,3500000,,0.007975,,,,,,,,,,0,,-3.37084,,,,79.8123,,,,8.35373,8.2E+11,,,21274.1,8.2E+11,200000000
USA,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1804,,43.1557,91.9032,63.4942,5.36501,,59.2699,,,,82.8543,,87.0183,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5465,15.2981,,59.2699,,,,,3700000,0.000812,0.012417,,,,,,,,,,0,,7.95682,,,,79.6026,,,,11.0511,8.6E+11,,,21569.8,8.7E+11,200000000
USA,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0174,,43.8055,91.8517,63.7976,5.41775,,59.6521,,,,83.8542,,87.8506,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2803,15.9516,,59.6521,,,,,3900000,0.007533,0.099947,,,,,,,,,,0,,6.97219,,,,78.8195,,,,9.27376,9.4E+11,,,22380.6,9.5E+11,200000000
USA,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6078,,43.1189,91.81,61.7958,5.40809,,57.6494,,,,84.1548,,86.7595,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2892,16.8229,,57.6494,,,,,3700000,0.005687,0.105304,,,,,,,,,,0,,-0.606931,,,,82.5816,,,,9.15788,1E+12,,,22850,1E+12,200000000
USA,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3674,,43.1573,91.71,62.0385,5.50719,,57.76,,,,85.0101,,87.4664,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2522,17.8051,,57.76,,,,,3900000,0.001859,0.103078,,,,,,,,,,0,,-14.9406,,,,83.7385,,,,12.5159,1.1E+12,,,23309.6,1.1E+12,210000000
USA,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1404,,44.0148,91.6385,64.319,5.57243,,60.0668,,,,85.762,,90.8892,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8484,18.5694,,60.0668,,,,,4300000,0.018839,0.155767,,,,,,,,,,0,,18.2217,,,,80.1447,,,,13.1728,1.2E+12,,,23775.3,1.2E+12,210000000
USA,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8918,,45.4049,92.0453,66.5895,5.41384,,62.4802,,,,89.1087,,95.5419,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4904,19.1771,,62.4802,,,,,4700000,0.049125,0.321962,,,,,,,,,,0,,10.9991,,,,79.8522,,,,9.78,1.3E+12,,,24760.1,1.3E+12,210000000
USA,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.289,63.9501,44.0083,92.4911,66.9002,5.19181,,62.966,,,,90.2763,,94.6282,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1873,20.3618,,62.966,,,,,4700000,0.02611,0.378356,,,,,,,,,,0,,-1.55449,,,,83.0433,,,,10.8135,1.4E+12,,,25908.9,1.4E+12,210000000
USA,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.9254,65.6136,41.4041,92.7108,67.6078,5.15873,,63.6749,,,,90.3151,,92.0732,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8013,22.6127,,63.6749,,,,,4600000,0.004842,0.377125,,,,,,,,,,0,,-22.9503,,,,86.259,,,,17.3363,1.5E+12,,,25540.5,1.6E+12,210000000
USA,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3893,64.2768,40.336,92.8535,67.2942,4.94705,,63.1945,,,,87.539,,90.2594,40.4019,7.88067,,,,,,,,,,,,,,,,,,,,,,,,20.1186,25.4522,24.6803,,63.1945,,,,,4700000,0.017881,0.380479,,,,,,,,,,0,12.3627,4.10268,,,,84.484,,,,20.9688,1.7E+12,,,25239.9,1.7E+12,220000000
